"name","desc","coded"
"DOEID","Unique identifier for each respondent","10001 - 	Unique identifier for each respondent
"
"REGIONC","Census Region","1	Northeast
2	Midwest
3	South
4	West
"
"DIVISION","Census Division","1	New England
2	Middle Atlantic
3	East North Central
4	West North Central
5	South Atlantic
6	East South Central
7	West South Central
8	Mountain North
9	Mountain South
10	Pacific
"
"METROMICRO","Housing unit in Census Metropolitan Statistical Area or Micropolitan Statistical Area","METRO	Housing unit in Census Metropolitan Statistical Area
MICRO	Housing unit in Census Micropolitan Statistical Area
NONE	Housing unit in neither
"
"UATYP10","Census 2010 Urban Type","U	Urban Area
C	Urban Cluster
R	Rural
"
"TYPEHUQ","Type of housing unit","1	Mobile home
2	Single-family detached house 
3	Single-family attached house
4	Apartment in a building with 2 to 4 units
5	Apartment in a building with 5 or more units
"
"ZTYPEHUQ","Imputation flag for TYPEHUQ","1	Imputed
0	Not imputed
"
"CELLAR","Housing unit over a basement","1	Yes
0	No
-2	Not applicable
"
"ZCELLAR","Imputation flag for CELLAR","1	Imputed
0	Not imputed
-2	Not applicable
"
"BASEFIN","Finished basement","1	Yes
0	No
-2	Not applicable
"
"ZBASEFIN","Imputation flag for BASEFIN","1	Imputed
0	Not imputed
-2	Not applicable
"
"ATTIC","Attic above the housing unit","1	Yes
0	No
-2	Not applicable
"
"ZATTIC","Imputation flag for ATTIC","1	Imputed
0	Not imputed
-2	Not applicable
"
"ATTICFIN","Finished attic","1	Yes
0	No
-2	Not applicable
"
"ZATTICFIN","Imputation flag for ATTICFIN","1	Imputed
0	Not imputed
-2	Not applicable
"
"STORIES","Number of stories in a single-family home","10	One story
20	Two stories
31	Three stories
32	Four or more stories
40	Split-level
-2	Not applicable
"
"ZSTORIES","Imputation flag for STORIES","1	Imputed
0	Not imputed
-2	Not applicable
"
"PRKGPLC1","Attached garage","1	Yes
0	No
-2	Not applicable
"
"ZPRKGPLC1","Imputation flag for PRKGPLC1","1	Imputed
0	Not imputed
-2	Not applicable
"
"SIZEOFGARAGE","Size of attached garage","1	One-car garage
2	Two-car garage
3	Three-or-more-car garage
-2	Not applicable
"
"ZSIZEOFGARAGE","Imputation flag for SIZEOFGARAGE","1	Imputed
0	Not imputed
-2	Not applicable
"
"KOWNRENT","Own or rent","1	Owned or being bought by someone in your household
