"name","desc","coded","type"
"DIVISION","Census Division","1	New England
2	Middle Atlantic
3	East North Central
4	West North Central
5	South Atlantic
6	East South Central
7	West South Central
8	Mountain North
9	Mountain South
10	Pacific
",FALSE
"METROMICRO","Housing unit in Census Metropolitan Statistical Area or Micropolitan Statistical Area","METRO	Housing unit in Census Metropolitan Statistical Area
MICRO	Housing unit in Census Micropolitan Statistical Area
NONE	Housing unit in neither
",FALSE
"UATYP10","Census 2010 Urban Type","U	Urban Area
C	Urban Cluster
R	Rural
",FALSE
"TYPEHUQ","Type of housing unit","1	Mobile home
2	Single-family detached house 
3	Single-family attached house
4	Apartment in a building with 2 to 4 units
5	Apartment in a building with 5 or more units
",FALSE
"CELLAR","Housing unit over a basement","1	Yes
0	No
-2	Not applicable
",FALSE
"BASEFIN","Finished basement","1	Yes
0	No
-2	Not applicable
",FALSE
"ATTIC","Attic above the housing unit","1	Yes
0	No
-2	Not applicable
",FALSE
"ATTICFIN","Finished attic","1	Yes
0	No
-2	Not applicable
",FALSE
"STORIES","Number of stories in a single-family home","10	One story
20	Two stories
31	Three stories
32	Four or more stories
40	Split-level
-2	Not applicable
",FALSE
"PRKGPLC1","Attached garage","1	Yes
0	No
-2	Not applicable
",FALSE
"SIZEOFGARAGE","Size of attached garage","1	One-car garage
2	Two-car garage
3	Three-or-more-car garage
-2	Not applicable
",FALSE
"KOWNRENT","Own or rent","1	Owned or being bought by someone in your household
2	Rented
3	Occupied without payment of rent
",FALSE
"YEARMADERANGE","Range when housing unit was built","1	Before 1950
2	1950 to 1959
3	1960 to 1969
4	1970 to 1979
5	1980 to 1989
6	1990 to 1999
7	2000 to 2009
8	2010 to 2015
",FALSE
"OCCUPYYRANGE","Range when household moved in","1	Before 1950
2	1950 to 1959
3	1960 to 1969
4	1970 to 1979
5	1980 to 1989
6	1990 to 1999
7	2000 to 2009
8	2010 to 2015
",FALSE
"STUDIO","Studio apartment","1	Yes
0	No
-2	Not applicable
",FALSE
"BEDROOMS","Number of bedrooms","0 - 30	Number of bedrooms
",TRUE
"NCOMBATH","Number of full bathrooms","0 - 30	Number of full bathrooms
",TRUE
"NHAFBATH","Number of half bathrooms","0 - 30	Number of half bathrooms
",TRUE
"OTHROOMS","Number of other rooms","1 - 30	Number of other rooms
",TRUE
"WALLTYPE","Major outside wall material","1	Brick
2	Wood
3	Siding
4	Stucco
5	Shingle (composition)
6	Stone
7	Concrete or concrete block
9	Other
",FALSE
"ROOFTYPE","Major roofing material","1	Ceramic or clay tiles
2	Wood shingles/shakes
3	Metal
4	Slate or synthetic shake
5	Shingles (composition or asphalt)
7	Concrete tiles
9	Other
-2	Not applicable
",FALSE
"HIGHCEIL","High ceilings","1	Yes
0	No
-2	Not applicable
",FALSE
"DOOR1SUM","Number of sliding glass doors","0 - 10	Number of sliding glass doors
